City_ID,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Temperature,Wind Speed
79,haveli,50,PK,1591217199,35,30.45,73.7,89.19,89.19,5.55
80,bambous virieux,75,MU,1591217199,78,-20.34,57.76,73.0,72.27,13.87
81,sarakhs,0,IR,1591217199,28,36.54,61.16,80.6,80.6,2.24
82,baruun-urt,0,MN,1591217199,73,46.68,113.28,47.16,47.16,4.83
83,lavrentiya,0,RU,1591217199,67,65.58,-171.0,42.21,42.21,5.57
84,tabou,32,CI,1591217199,86,4.42,-7.35,79.57,79.57,6.73
85,longyearbyen,39,SJ,1591217199,69,78.22,15.64,37.4,37.4,4.7
86,thinadhoo,87,MV,1591217199,68,0.53,72.93,84.38,84.38,8.16
87,krasnoselkup,28,RU,1591216963,69,65.7,82.47,46.29,46.29,12.5
88,syracuse,1,IT,1591217111,49,37.09,15.28,71.6,66.58,2.24
89,lata,25,PT,1591217200,87,40.16,-8.33,66.99,64.99,3.02
90,gornyy,71,RU,1591217200,73,55.12,83.91,40.44,40.44,1.34
91,sydney,75,AU,1591216981,62,-33.87,151.21,51.8,50.4,17.22
92,fayaoue,71,NC,1591217200,83,-20.65,166.53,76.39,76.39,17.18
93,vaini,40,TO,1591217200,83,-21.2,-175.2,77.0,77.0,9.17
94,tasiilaq,100,GL,1591217200,65,65.61,-37.64,44.6,44.6,4.7
95,bredasdorp,96,ZA,1591217200,87,-34.53,20.04,59.0,59.0,2.24
96,narasannapeta,100,IN,1591217200,78,18.42,84.05,84.27,84.27,6.15
97,geraldton,0,AU,1591217200,66,-28.77,114.6,55.4,55.4,8.05
98,axim,5,GH,1591217200,84,4.87,-2.24,79.84,79.84,8.01
99,codrington,1,AU,1591217200,90,-38.27,141.97,40.64,40.64,5.01
100,torbay,75,CA,1591216985,58,47.67,-52.73,55.0,53.89,14.99
101,barrow,1,US,1591217201,80,71.29,-156.79,35.6,35.6,18.34
102,honiara,40,SB,1591217201,100,-9.43,159.95,75.2,75.2,1.68
103,padang,100,ID,1591217143,83,-0.95,100.35,77.9,77.9,2.55
104,cam ranh,20,VN,1591217131,74,11.92,109.16,86.0,86.0,5.82
105,port-cartier,75,CA,1591217201,61,50.03,-66.87,48.2,47.35,12.75
106,nanortalik,78,GL,1591216929,88,60.14,-45.24,48.36,48.36,4.56
107,zhigansk,66,RU,1591217201,51,66.77,123.37,50.65,50.65,10.4
108,vardo,75,NO,1591217201,87,70.37,31.11,42.8,42.8,6.93
109,comacchio,99,IT,1591217201,36,44.7,12.19,77.0,71.11,3.36
110,haverfordwest,83,GB,1591216902,76,51.8,-4.97,55.4,54.27,19.46
111,adrar,50,MR,1591217201,30,20.5,-10.07,89.67,89.67,13.31
112,khandyga,50,RU,1591217201,54,62.67,135.6,55.76,55.76,3.49
113,talnakh,9,RU,1591217201,75,69.49,88.4,44.6,44.6,17.9
114,georgetown,20,MY,1591217117,94,5.41,100.34,80.6,79.25,2.24
115,narsaq,75,GL,1591217202,59,60.92,-46.05,60.8,60.8,5.82
116,vanavara,100,RU,1591217202,73,60.34,102.28,49.91,49.91,3.09
117,san andres,90,CO,1591217090,88,12.58,-81.7,80.6,80.6,11.41
118,cape town,84,ZA,1591217026,77,-33.93,18.42,60.8,58.96,13.87
119,wagar,0,SD,1591217202,16,16.15,36.2,89.69,89.69,7.74
120,hambantota,71,LK,1591217202,85,6.12,81.12,78.13,78.13,13.06
121,saskylakh,100,RU,1591217202,59,71.92,114.08,47.89,47.89,7.43
122,buala,44,SB,1591217170,72,-8.14,159.59,82.85,82.85,4.18
123,san quintin,0,MX,1591217202,53,30.48,-115.95,75.69,75.69,9.37
124,mombetsu,28,JP,1591217202,82,44.35,143.35,55.99,55.99,1.99
125,kodiak,90,US,1591216915,87,57.79,-152.41,48.2,48.2,14.99
126,aklavik,5,CA,1591217202,40,68.22,-135.01,51.8,51.8,8.05
127,demerval lobao,31,BR,1591217202,55,-5.36,-42.68,89.6,89.6,4.7
128,daru,100,PG,1591217202,86,-9.08,143.21,77.9,77.9,18.75
129,coahuayana,20,MX,1591217107,62,18.73,-103.68,86.0,86.0,8.16
130,tuktoyaktuk,20,CA,1591217203,60,69.45,-133.04,41.0,41.0,12.75
131,ossora,94,RU,1591217203,71,59.24,163.07,45.48,45.48,2.59
132,fershampenuaz,95,RU,1591217224,75,53.52,59.81,54.45,54.45,5.99
133,saint george,1,US,1591217158,11,37.1,-113.58,100.0,98.67,3.36
134,bambanglipuro,53,ID,1591217224,87,-7.95,110.28,77.36,77.36,6.46
